id;name;internet_data_in_gb;unlimited_sms_and_calls;price;description
1;amidst geez blushing;27961;false;13563.31;coolly
2;stable gah;7326;true;23887.97;pish commandeer
3;keel;17147;false;2528.03;tremendously unbearably contrast
4;ah wherever;27374;true;23665.41;elementary husband ready
5;irresponsible;26762;true;12319.4;hence fledgling
6;oh whenever meh;11593;false;19851.79;immediately disrespect meaningfully
7;when;25929;false;31083.35;calculating shampoo
8;uh-huh once when;24077;true;30333.06;nor comestible coliseum
9;supplier pfft posh;595;true;17913.06;unbalance
10;since reassuringly;26003;true;6660.29;carp
